trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
452,False,"{'a': 0.005375795851739551, 'e': 0.010751591703479103}",20,6,23.585577363656835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.005322037893222156, 'e': 0.010644075786444312}",20,6,22.175998401582625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.005268817514289935, 'e': 0.01053763502857987}",25,13,22.204581647535033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.005216129339147035, 'e': 0.01043225867829407}",20,12,16.422678249575668,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.005163968045755565, 'e': 0.01032793609151113}",20,5,17.554342514050305,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.005112328365298009, 'e': 0.010224656730596018}",30,17,27.630915629549893,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.0050612050816450285, 'e': 0.010122410163290057}",25,18,10.44547823879997,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.005010593030828578, 'e': 0.010021186061657156}",30,8,9.64687433295368,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
460,False,"{'a': 0.004960487100520293, 'e': 0.009920974201040586}",25,0,43.27186650934393,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
461,False,"{'a': 0.004910882229515089, 'e': 0.009821764459030179}",30,11,-5.415332455107849,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
462,False,"{'a': 0.004861773407219939, 'e': 0.009723546814439878}",20,7,19.669757977073594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.004813155673147739, 'e': 0.009626311346295479}",20,0,-11.69472613226059,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
464,False,"{'a': 0.004765024116416262, 'e': 0.009530048232832523}",20,0,29.601119873427955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
465,False,"{'a': 0.0047173738752520995, 'e': 0.009434747750504199}",30,23,10.025877696628154,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.004670200136499578, 'e': 0.009340400272999157}",20,8,22.896612486787394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.0046234981351345825, 'e': 0.009246996270269165}",20,10,17.057885133906588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.004577263153783237, 'e': 0.009154526307566474}",20,0,19.52671241200244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
469,False,"{'a': 0.004531490522245404, 'e': 0.009062981044490808}",20,1,30.760771126123952,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.00448617561702295, 'e': 0.0089723512340459}",35,23,23.32153541723922,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.00444131386085272, 'e': 0.00888262772170544}",25,4,22.30801588974615,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
472,False,"{'a': 0.004396900722244193, 'e': 0.008793801444488386}",20,14,10.39631548175355,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
